Energy, Prop. cost, Ortho. cost, Map. cost, Total
 0.136336, 7.19468e-33, 0, 0,
 0.131414, 1.91582e-32, 0, 0.0281278,
 0.128621, 4.96389e-32, 0, 0.0143754,
 0.127386, 1.53501e-31, 0, 0.0160616,
 0.126335, 5.16772e-33, 0, 0.0184147,
 0.125882, 1.22068e-31, 0, 0.0175195,
 0.0615418, 9.5957e-33, 7.90821e-33, 0,
 0.0538057, 6.92612e-33, 7.26869e-36, 0.0162731,
 0.0544241, 5.15404e-33, 4.25878e-34, 0.0207865,
 0.0533062, 3.19349e-32, 5.50561e-35, 0.0188581,
 0.0532358, 3.75353e-33, 1.50062e-35, 0.0117933,

