Energy, Prop. cost, Ortho. cost, Map. cost, Total
 0.214917, 3.91154e-31, 0, 0,
 0.195338, 2.44944e-32, 0, 0.0422011,
 0.190717, 1.90169e-32, 0, 0.0409812,
 0.187326, 2.67596e-31, 0, 0.0420725,
 0.187219, 2.56034e-31, 0, 0.0429426,
 0.157415, 2.12268e-32, 2.46184e-28, 0,
 0.146413, 4.14233e-32, 7.16162e-34, 0.0208655,
 0.141654, 4.75077e-33, 1.32996e-37, 0.0214033,
 0.138885, 3.86724e-34, 5.2818e-33, 0.0193738,
 0.134187, 4.78913e-32, 7.16837e-32, 0.0208897,
 0.132744, 2.10809e-33, 8.47064e-32, 0.0190685,
 0.13201, 6.42077e-33, 4.35637e-33, 0.0189073,

