Energy, Prop. cost, Ortho. cost, Map. cost, Total
 0.0513946, 9.74951e-33, 0, 0,
 0.0405892, 1.48121e-32, 0, 0.00987583,
 0.0319175, 5.50807e-34, 0, 0.0114638,
 0.0269922, 4.27857e-33, 0, 0.0422898,
 0.0234181, 7.89235e-34, 0, 0.0419441,
 0.0213605, 1.23541e-33, 0, 0.0449931,
 0.0212778, 4.33865e-33, 0, 0.0422505,
 0.0133181, 4.10734e-38, 5.90048e-31, 0,
 0.00862181, 1.21507e-34, 1.18838e-34, 0.00505095,
 0.00850313, 2.25163e-35, 2.25767e-33, 0.00633678,
 0.00845192, 6.6505e-36, 1.80232e-33, 0.0064886,

